name	publisher	title	coverage	subject	placeOfPublication
sn93052980	R. Webb & F.S. Briggs	Amador ledger.	http://sws.geonames.org/5360160/	Amador County (Calif.)--Newspapers.	Jackson, Amador County, Calif.
sn86069871	Champ & Roby	The Bourbon news.	http://sws.geonames.org/4303602/	Paris (Ky.)--Newspapers.	Millersburg, Ky.
sn85058012	J.W. Carpenter	The Union.			St. George, Utah
sn85029094	J.W. Roberts	The independent.	http://dbpedia.org/resource/Oskaloosa%2C_Kansas		Oskaloosa, Kan.
sn95060902	Nash & Tilden	Tombstone daily prospector.	http://sws.geonames.org/5317714/	Tombstone (Ariz.)--Newspapers.	Tombstone, Ariz.
sn86091025	R.W. Crockett	The Sun.	http://dbpedia.org/resource/Price%2C_Utah		Price, Utah
sn83030272	Benj. H. Day	The sun.		New York (N.Y.)--Newspapers.	New York [N.Y.]
sn86089174	Jesse O. Wheeler	The daily herald.	http://sws.geonames.org/4676740/		Brownsville, Tex.
sn90061416	Davenport & Dobyns	The County paper.	http://dbpedia.org/resource/Oregon%2C_Missouri		Oregon, Mo.
sn85038119	[s.n.]	The Hocking sentinel.	http://dbpedia.org/resource/Logan%2C_Ohio		Logan, Ohio
sn82016352	[s.n.]	Sunday morning globe.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn85034336	G.W. McCranie	The Ouachita telegraph.	http://dbpedia.org/resource/Monroe%2C_Louisiana	Monroe (La.)--Newspapers.	Monroe, La.
sn90061417	Dobyns & Curry	The Holt County sentinel.	http://dbpedia.org/resource/Oregon%2C_Missouri		Oregon, Mo.
sn89059303	Mattie B. McGrath	Woman's enterprise.	http://dbpedia.org/resource/Baton_Rouge%2C_Louisiana	Baton Rouge (La.)--Newspapers.	Baton Rouge, La.
2010218520	Deseret Farmer Pub. Co.	Deseret farmer.		Agriculture--Utah.	Provo, Utah
sn95047348	John A. Crosby	The San Mateo item.	http://dbpedia.org/resource/San_Mateo%2C_Florida	San Mateo (Putnam County, Fla.)--Newspapers.	San Mateo City, Putnam County, Fla
sn82014760	Lewis Clephane & Co.	The national Republican.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn85052115	The Sun Pub. Co.	The Paducah weekly sun.	http://sws.geonames.org/4048662/	Paducah (Ky.)--Newspapers.	Paducah, Ky.
sn86091037	J.H. Wallis	The Dispatch.	http://dbpedia.org/resource/Provo%2C_Utah		Provo City, Utah
sn88064111	Chas. A. Thomas and Homer J. Mouton	The Lafayette gazette.	http://sws.geonames.org/4330145/	Lafayette (La.)--Newspapers.	Lafayette, La.
sn95063969	Ed Boyle	The Oklahoma miner.	http://dbpedia.org/resource/Krebs%2C_Oklahoma	Krebs (Okla.)--Newspapers.	Krebs, Okla.
sn84026994	Cathcart, McMillan & Morton	The Charleston daily news.	http://dbpedia.org/resource/Charleston%2C_South_Carolina	Charleston (S.C.)--Newspapers.	Charleston, S.C.
sn95026788	Live Oak Pub. Co.	Live Oak daily Democrat.	http://sws.geonames.org/4162461/	Suwannee County (Fla.)--Newspapers.	Live Oak, Fla.
sn86064205	Stock Journal Pub. Co.	Fort Worth daily gazette.	http://sws.geonames.org/4691930/	Fort Worth (Tex.)--Newspapers.	Fort Worth, Tex.
sn82016412	J.W. Robertson	The Daily bulletin.	http://dbpedia.org/resource/Honolulu%2C_Hawaii		Honolulu [Hawaii]
sn84037890	Jno. P. Barrett & Co.	The Hartford herald.	http://sws.geonames.org/4294195/	Hartford (Ky.)--Newspapers.	Hartford, Ky.
sn84022097	Melton & Millican	The San Saba news.	http://dbpedia.org/resource/San_Saba%2C_Texas	San Saba (Tex.)--Newspapers.	San Saba, Tex.
sn86063624	Journal Co.	Kansas City daily journal.	http://sws.geonames.org/4393217/	Jackson County (Mo.)--Newspapers.	Kansas City, Mo.
2010218519	C.C. Goodwin, J.T. Goodwin	Goodwin's weekly : a thinking paper for thinking people.	http://sws.geonames.org/5780993/	Actresses--Utah.	Salt Lake City, Utah
sn93062856	Intermountain Catholic Pub. Co.	The Intermountain Catholic.	http://dbpedia.org/resource/Salt_Lake_City%2C_Utah	Catholics--Newspapers.	Salt Lake City [Utah] ;
sn98061398	Henry C. Reed	Imperial press.	http://sws.geonames.org/5359052/	Imperial County (Calif.)--Newspapers.	Imperial, Cal.
sn2007058208	W.M. Likins, C.T. Likins, J. Karl Taylor	The Kentucky vindicator.	http://sws.geonames.org/4303436/	Daviess County (Ky.)--Newspapers.	Owenboro, Ky.
sn82014381	Sacramento Pub. Co.	Sacramento daily record-union.	http://dbpedia.org/resource/Sacramento%2C_California	Sacramento County (Calif.)--Newspapers.	Sacramento [Calif.]
sn82016353	[s.n.]	Sunday Washington globe.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn87062244	Washington Times Pub. Co.	The Washington times.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn88064459	National Industrial Union of Forest and Lumber Workers, Southern District	The Lumberjack.	http://dbpedia.org/resource/Alexandria%2C_Louisiana	Working class--United States--Periodicals.	Alexandria, La.
sn89038091	R.A. Cassidy	The soldiers' journal.	http://sws.geonames.org/4744091/	United States--History--Civil War, 1861-1865--Newspapers.	Rendevous of Distribution, Va.
sn86063756	Sims and Mellichamp	The times and democrat.	http://dbpedia.org/resource/Orangeburg%2C_South_Carolina	Orangeburg County (S.C.)--Newspapers.	Orangeburg, S.C.
sn82016357	Suburban Citizen Newspaper Co.	The suburban citizen.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn83027091	Colored American Pub. Co.	The colored American.		African Americans--Washington (D.C.)--Newspapers.	Washington, D.C.
sn94050555	R.H & J.E. Jones	The Skylight kicker.	http://dbpedia.org/resource/Flagstaff%2C_Arizona	Flagstaff (Ariz.)--Newspapers.	Flagstaff, Ariz.
sn86099906	Jesse O. Wheeler	The Brownsville daily herald.	http://dbpedia.org/resource/Brownsville%2C_Texas		Brownsville, Tex.
sn94056414	J.P. Israel	McCook weekly tribune	http://dbpedia.org/resource/McCook%2C_Nebraska	McCook (Neb.)--Newspapers.	McCook, Neb.
sn86069560	Jas. Maret	The mountain signal.	http://dbpedia.org/resource/Mount_Vernon%2C_Kentucky	Rockcastle County (Ky.)--Newspapers.	Mount Vernon, Ky.
sn95026977	H.H. McCreary	Gainesville daily sun.	http://dbpedia.org/resource/Gainesville%2C_Florida	Gainesville (Fla.)--Newspapers.	Gainesville, Fla.
sn83045555	G.Q. Cannon	Deseret evening news.	http://dbpedia.org/resource/Salt_Lake_City%2C_Utah	Salt Lake City (Utah)--Newspapers.	Great Salt Lake City [Utah]
sn95026787	J.E. Pound	Suwannee Democrat.	http://sws.geonames.org/4162461/	Suwannee County (Fla.)--Newspapers.	Live Oak, Fla.
sn82014681	Published for the Saturday Press by R. Grieve	Saturday press.	http://dbpedia.org/resource/Honolulu%2C_Hawaii		Honolulu, H.I.
sn94056415	F.M. & E.M. Kimmell	The McCook tribune	http://dbpedia.org/resource/McCook%2C_Nebraska	McCook (Neb.)--Newspapers.	McCook, Neb.
sn86063381	Pioneer Pub. Co.	The Bemidji daily pioneer.	http://dbpedia.org/resource/Bemidji%2C_Minnesota	Bemidji (Minn.)--Newspapers.	Bemidji, Minn.
sn86069395	Chas. M. Meacham	Hopkinsville Kentuckian.	http://dbpedia.org/resource/Hopkinsville%2C_Kentucky	Hopkinsville (Ky.)--Newspapers.	Hopkinsville, Ky.
sn88061168	Times Prtg. Co.	The Spout Spring times.		Spout Springs (Ky.)--Newspapers.	Spout Spring[s], Ky.
sn88064433	Lower Coast Gazette Co.	Lower coast gazette.			Pointe-a-la-Hache, La.
sn89066651	Wm. York	The Hayti herald.	http://dbpedia.org/resource/Hayti%2C_Missouri	Pemiscot County (Mo.)--Newspapers.	Hayti, Mo.
sn88064339	Bayou Sara Pub. Co.	The true Democrat.		Saint Francisville (La.)--Newspapers.	Bayou Sara [La.]
sn85038570	C.W. Boyce	The Constitutional.	http://dbpedia.org/resource/Alexandria%2C_Louisiana		Alexandria, La.
sn84029853	Globe-Republican Pub. Co.	The Globe-republican.	http://sws.geonames.org/5445298/		Dodge City, Kan.
sn86091396	J.A. Wixom	The Garland City globe.	http://sws.geonames.org/5775081/		Garland, Utah
sn93062854	[s.n.]	American Baptist.	http://sws.geonames.org/4299276/	Louisville (Ky.)--Newspapers.	Louisville, Ky.
sn87060032	D. Will Clark	Mountain advocate.	http://dbpedia.org/resource/Barbourville%2C_Kentucky	Knox County (Ky.)--Newspapers.	Barbourville, Ky.
sn84024546	Rook, O'Neil & Co.	Pittsburg dispatch.	http://sws.geonames.org/5206379/	Pittsburgh (Pa.)--Newspapers.	Pittsburg [Pa.]
sn84026920	Charles H. Hall	The Orangeburg news.	http://dbpedia.org/resource/Orangeburg%2C_South_Carolina	Orangeburg County (S.C.)--Newspapers.	Orangeburg, S.C.
sn84020096	Independent Association	The Independent.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu, H.I.
sn85047165	R. Grieve Pub. Co.	The Honolulu republican.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu, T.H.
